Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
China,Madagascar,1992,Exports & Imports,172,6,3.6,0.12,2658.56,4420.45,1761.89,0,0.01,37.42,11.56,7,100,0,0,0,80,9,0,1761.89,0,37.42,11.56,7,100,0,0,0,80,9,0,1761.89,0,
China,Maldives,1992,Exports & Imports,33,12,0.69,0.24,-112.95,494.13,607.08,0,0,30.26,25.15,15,100,0,0,0,80,9,0,607.08,0,30.26,25.15,15,100,0,0,0,80,9,0,607.08,0,
China,Middle East & North Africa,1992,Exports & Imports,2332,366,48.82,7.43,1047030.24,2160074.65,1113044.42,1.38,2.54,37.1,7.17,773,98.58,1.42,0,0,180,0,0,1094498.65,18539.38,38.46,7.17,533,97.94,2.06,0,0,180,0,0,1094498.65,18539.38,
China,Mexico,1992,Exports & Imports,679,107,14.21,2.17,43752.3,157733.18,113980.88,0.14,0.19,32.92,18.02,168,98.21,1.79,0,0,150,0,0,113980.88,0,32.92,18.02,168,98.21,1.79,0,0,150,0,0,113980.88,0,
China,Mali,1992,Exports & Imports,93,2,1.95,0.04,-29478.22,5429.4,34907.62,0.04,0.01,51.5,3,2,100,0,0,0,100,3,0,34907.61,0,51.5,3,2,100,0,0,0,100,3,0,34907.61,0,
China,Malta,1992,Exports & Imports,235,3,4.92,0.06,15672.52,15718.08,45.56,0,0.02,80,25.25,3,100,0,0,0,150,20,0,45.56,0,80,25.25,3,100,0,0,0,150,20,0,45.56,0,
China,Myanmar,1992,Exports & Imports,826,167,17.29,3.39,127891.31,259154.32,131263.01,0.16,0.31,37.63,22.81,300,95.67,4.33,0,0,100,0,0,126146.61,5008.45,37.63,22.81,300,95.67,4.33,0,0,100,0,0,126146.61,5008.45,
China,Mongolia,1992,Exports & Imports,810,146,16.96,2.96,87614.09,135725.41,48111.32,0.06,0.16,38.46,13.89,236,98.73,1.27,0,0,180,0,0,33974.38,14136.94,38.46,13.89,236,98.73,1.27,0,0,180,0,0,33974.38,14136.94,
China,Mozambique,1992,Exports & Imports,84,8,1.76,0.16,-17660.84,20729.01,38389.84,0.05,0.02,6.75,7.97,8,50,50,0,0,25,0,0,14702.94,23686.9,6.75,7.97,8,50,50,0,0,25,0,0,14702.94,23686.9,
China,Mauritania,1992,Exports & Imports,65,3,1.36,0.06,14618.83,14700.36,81.53,0,0.02,52,40.44,3,100,0,0,0,100,6,0,81.53,0,52,40.44,3,100,0,0,0,100,6,0,81.53,0,
China,Montserrat,1992,Exports & Imports,2,14,0.04,0.28,-90.92,34.58,125.51,0,0,54.1,58.72,18,100,0,0,0,150,7.5,0,123.13,0,54.1,58.72,18,100,0,0,0,150,7.5,0,123.13,0,
China,Mauritius,1992,Exports & Imports,564,4,11.81,0.08,23301.98,23437.85,135.87,0,0.03,72.5,95.5,6,100,0,0,0,100,20,0,135.87,0,72.5,95.5,6,100,0,0,0,100,20,0,135.87,0,
China,Malawi,1992,Exports & Imports,17,1,0.36,0.02,-570.43,315.97,886.39,0,0,50,50,2,100,0,0,0,50,50,0,886.39,0,50,50,2,100,0,0,0,50,50,0,886.39,0,
China,Malaysia,1992,Exports & Imports,1976,978,41.36,19.85,-184711.04,645428.93,830139.97,1.03,0.76,42.7,21.5,1363,99.05,0.95,0,0,150,0,0,819521.27,10588.52,42.7,21.5,1363,99.05,0.95,0,0,150,0,0,819521.27,10588.52,
China,North America,1992,Exports & Imports,2921,3606,61.15,73.2,-1574980.9,9252568.87,10827549.77,13.44,10.89,38.74,20.3,6116,98.33,1.67,0,0,220,0,0,9440296.06,1349857.42,39.67,20.3,4690,98.42,1.58,0,0,220,0,0,9440296.06,1349857.42,
China,New Caledonia,1992,Exports & Imports,64,2,1.34,0.04,520.92,542.45,21.53,0,0,20,15.35,3,100,0,0,0,25,15,0,21.53,0,20,15.35,3,100,0,0,0,25,15,0,21.53,0,
China,Nigeria,1992,Exports & Imports,482,12,10.09,0.24,85030,90991.98,5961.98,0.01,0.11,27.94,18.43,23,95.65,4.35,0,0,60,0,0,5941.43,19.19,27.94,18.43,23,95.65,4.35,0,0,60,0,0,5941.43,19.19,
China,Nicaragua,1992,Exports & Imports,37,2,0.77,0.04,802,1017.06,215.07,0,0,45,30.49,2,100,0,0,0,60,30,0,215.07,0,45,30.49,2,100,0,0,0,60,30,0,215.07,0,
China,Netherlands,1992,Exports & Imports,1506,1169,31.53,23.73,692150.62,1200322.82,508172.19,0.63,1.41,33.57,17.16,1645,98.84,1.16,0,0,180,0,0,507273.87,629.4,33.57,17.16,1645,98.84,1.16,0,0,180,0,0,507273.87,629.4,
China,Norway,1992,Exports & Imports,566,306,11.85,6.21,-21791.34,143323.18,165114.53,0.2,0.17,33.33,11.31,452,99.78,0.22,0,0,100,0,0,165095.02,0,33.33,11.31,452,99.78,0.22,0,0,100,0,0,165095.02,0,
China,Nepal,1992,Exports & Imports,364,45,7.62,0.91,34246.81,35007.02,760.2,0,0.04,66.74,75.29,95,98.95,1.05,0,0,220,0,0,742.47,0,66.74,75.29,95,98.95,1.05,0,0,220,0,0,742.47,0,
China,New Zealand,1992,Exports & Imports,962,403,20.14,8.18,-191584.49,87395.77,278980.26,0.35,0.1,37.43,16.94,585,97.26,2.74,0,0,150,0,0,278238.81,627.28,37.43,16.94,585,97.26,2.74,0,0,150,0,0,278238.81,627.28,
China,"Other Asia, nes",1992,Exports & Imports,,,,,-5171558.72,694574.27,5866132.99,7.28,0.82,,,,,,,,,,,,,,,,,,,,,,,,,
China,Oman,1992,Exports & Imports,212,25,4.44,0.51,-438727.49,8178.14,446905.63,0.55,0.01,33.43,3.13,49,100,0,0,0,80,3,0,446905.62,0,33.43,3.13,49,100,0,0,0,80,3,0,446905.62,0,
China,Pakistan,1992,Exports & Imports,1383,129,28.95,2.62,460308.65,551428.16,91119.51,0.11,0.65,49.1,17.48,175,99.43,0.57,0,0,150,0,0,85850.64,5268.87,49.1,17.48,175,99.43,0.57,0,0,150,0,0,85850.64,5268.87,
China,Panama,1992,Exports & Imports,537,11,11.24,0.22,128912.93,131994.59,3081.66,0,0.16,35.21,7.67,22,100,0,0,0,80,6,0,3081.66,0,35.21,7.67,22,100,0,0,0,80,6,0,3081.66,0,
China,Peru,1992,Exports & Imports,358,34,7.49,0.69,-274615.03,35458.6,310073.63,0.38,0.04,24.38,12.83,68,98.53,1.47,0,0,100,0,0,305239.9,4833.74,24.38,12.83,68,98.53,1.47,0,0,100,0,0,305239.9,4833.74,
China,Philippines,1992,Exports & Imports,985,324,20.62,6.58,54457.14,209548.61,155091.47,0.19,0.25,40.63,16.95,506,97.83,2.17,0,0,150,0,0,137083.97,18007.5,40.63,16.95,506,97.83,2.17,0,0,150,0,0,137083.97,18007.5,
China,Papua New Guinea,1992,Exports & Imports,281,10,5.88,0.2,-83518.32,14154.08,97672.4,0.12,0.02,34.49,3.94,17,100,0,0,0,100,3,0,97672.4,0,34.49,3.94,17,100,0,0,0,100,3,0,97672.4,0,
China,Poland,1992,Exports & Imports,498,218,10.43,4.43,29031.73,119227.98,90196.25,0.11,0.14,29.67,17.36,366,98.91,1.09,0,0,180,0,0,87735.17,2461.07,29.67,17.36,366,98.91,1.09,0,0,180,0,0,87735.17,2461.07,
China,"Korea, Dem. Rep.",1992,Exports & Imports,1287,234,26.94,4.75,385609.55,541065.15,155455.6,0.19,0.64,33.29,15.9,366,95.9,4.1,0,0,180,0,0,137887.11,17568.48,33.29,15.9,366,95.9,4.1,0,0,180,0,0,137887.11,17568.48,
China,Portugal,1992,Exports & Imports,506,74,10.59,1.5,21073.08,43992.56,22919.48,0.03,0.05,38.47,5.95,89,97.75,2.25,0,0,150,0,0,9402.15,13398.16,38.47,5.95,89,97.75,2.25,0,0,150,0,0,9402.15,13398.16,
China,Paraguay,1992,Exports & Imports,212,11,4.44,0.22,-14076.4,11317.95,25394.34,0.03,0.01,28.05,3.34,14,100,0,0,0,60,3,0,25394.34,0,28.05,3.34,14,100,0,0,0,60,3,0,25394.34,0,
China,French Polynesia,1992,Exports & Imports,34,10,0.71,0.2,-291.83,679.22,971.05,0,0,40.95,23.53,20,100,0,0,0,100,6,0,971.05,0,40.95,23.53,20,100,0,0,0,100,6,0,971.05,0,
China,Qatar,1992,Exports & Imports,196,14,4.1,0.28,-60864.61,8301.61,69166.22,0.09,0.01,36.6,18.52,27,100,0,0,0,100,5,0,69166.21,0,36.6,18.52,27,100,0,0,0,100,5,0,69166.21,0,
China,Reunion,1992,Exports & Imports,188,1,3.94,0.02,3100.2,3117.7,17.5,0,0,25,25,1,100,0,0,0,25,25,0,17.5,0,25,25,1,100,0,0,0,25,25,0,17.5,0,
China,Romania,1992,Exports & Imports,326,62,6.82,1.26,-133865.46,77592.82,211458.27,0.26,0.09,28.95,26.34,118,96.61,3.39,0,0,180,0,0,211452.66,5.62,28.95,26.34,118,96.61,3.39,0,0,180,0,0,211452.66,5.62,
China,Russian Federation,1992,Exports & Imports,1895,1205,39.67,24.46,-1189778.94,2336280.06,3526059.01,4.38,2.75,31.97,14.61,1664,98.8,1.2,0,0,220,0,0,3477463.21,18246.98,31.97,14.61,1664,98.8,1.2,0,0,220,0,0,3477463.21,18246.98,
China,Rwanda,1992,Exports & Imports,96,2,2.01,0.04,4042.87,4056.13,13.27,0,0,29.17,30.1,4,100,0,0,0,60,20,0,13.27,0,29.17,30.1,4,100,0,0,0,60,20,0,13.27,0,
China,South Asia,1992,Exports & Imports,2146,555,44.92,11.27,803698.95,1090818.47,287119.52,0.36,1.28,46.45,13.85,1069,98.32,1.68,0,0,220,0,0,173216.17,113474.32,46.77,13.85,838,98.33,1.67,0,0,220,0,0,173216.17,113474.32,
China,Saudi Arabia,1992,Exports & Imports,994,68,20.81,1.38,316842.5,444251.49,127408.99,0.16,0.52,35.85,16.21,87,100,0,0,0,150,2,0,127408.99,0,35.85,16.21,87,100,0,0,0,150,2,0,127408.99,0,
China,Fm Sudan,1992,Exports & Imports,293,4,6.13,0.08,34447.28,43674.32,9227.05,0.01,0.05,14.45,3.19,8,87.5,12.5,0,0,35,0,0,7893.63,1333.42,14.45,3.19,8,87.5,12.5,0,0,35,0,0,7893.63,1333.42,
China,Senegal,1992,Exports & Imports,179,5,3.75,0.1,25674.46,26217.01,542.56,0,0.03,43.2,10.65,6,100,0,0,0,100,5,0,542.56,0,43.2,10.65,6,100,0,0,0,100,5,0,542.56,0,
China,"Serbia, FR(Serbia/Montenegro)",1992,Exports & Imports,114,52,2.39,1.06,-57800.61,12950.49,70751.1,0.09,0.02,37.02,12.47,88,98.86,1.14,0,0,100,0,0,70451.11,300,37.02,12.47,88,98.86,1.14,0,0,100,0,0,70451.11,300,
China,Singapore,1992,Exports & Imports,2602,1783,54.47,36.2,794918.53,2030856.06,1235937.54,1.53,2.39,38.73,20.09,2434,98.77,1.23,0,0,180,0,0,1195087.16,932.04,38.73,20.09,2434,98.77,1.23,0,0,180,0,0,1195087.16,932.04,
China,El Salvador,1992,Exports & Imports,192,7,4.02,0.14,8793.12,9093.88,300.77,0,0.01,57.86,29.95,14,100,0,0,0,100,20,0,300.77,0,57.86,29.95,14,100,0,0,0,100,20,0,300.77,0,
China,Somalia,1992,Exports & Imports,12,5,0.25,0.1,4119.81,5238.43,1118.62,0,0.01,21.71,25.25,12,100,0,0,0,70,6,0,1118.62,0,21.71,25.25,12,100,0,0,0,70,6,0,1118.62,0,
China,Sub-Saharan Africa,1992,Exports & Imports,1608,131,33.66,2.66,486547.29,828331.15,341783.86,0.42,0.98,28.82,15.32,322,95.65,4.35,0,0,150,0,0,266258.78,75325.48,35.7,15.32,230,97.39,2.61,0,0,150,0,0,266258.78,75325.48,
China,Suriname,1992,Exports & Imports,138,1,2.89,0.02,2368.88,2853.59,484.72,0,0,20,20,1,100,0,0,0,20,20,0,484.72,0,20,20,1,100,0,0,0,20,20,0,484.72,0,
China,Sweden,1992,Exports & Imports,930,932,19.47,18.92,-260483.06,215235.47,475718.53,0.59,0.25,32.22,17.49,1332,99.62,0.38,0,0,220,0,0,475673.17,45.36,32.22,17.49,1332,99.62,0.38,0,0,220,0,0,475673.17,45.36,
China,Seychelles,1992,Exports & Imports,69,1,1.44,0.02,800.82,832.05,31.23,0,0,6,6,1,100,0,0,0,6,6,0,31.23,0,6,6,1,100,0,0,0,6,6,0,31.23,0,
China,Syrian Arab Republic,1992,Exports & Imports,598,5,12.52,0.1,75891.91,77413.02,1521.11,0,0.09,25,13.67,6,100,0,0,0,50,5,0,1521.11,0,25,13.67,6,100,0,0,0,50,5,0,1521.11,0,
China,Turks and Caicos Isl.,1992,Exports & Imports,6,1,0.13,0.02,132.6,133.41,0.8,0,0,20,20,1,100,0,0,0,20,20,0,0.8,0,20,20,1,100,0,0,0,20,20,0,0.8,0,
China,Chad,1992,Exports & Imports,31,4,0.65,0.08,-232.15,624.01,856.16,0,0,43,4.61,5,100,0,0,0,100,3,0,856.16,0,43,4.61,5,100,0,0,0,100,3,0,856.16,0,
China,Togo,1992,Exports & Imports,165,1,3.45,0.02,73666.32,75323.05,1656.73,0,0.09,10,10,2,100,0,0,0,15,5,0,1656.73,0,10,10,2,100,0,0,0,15,5,0,1656.73,0,
China,Thailand,1992,Exports & Imports,1825,1059,38.2,21.5,470296.06,894794.5,424498.43,0.53,1.05,43.39,29.89,1517,98.42,1.58,0,0,180,0,0,375740.21,48732.63,43.39,29.89,1517,98.42,1.58,0,0,180,0,0,375740.21,48732.63,
China,Tajikistan,1992,Exports & Imports,26,3,0.54,0.06,1149.54,1953.4,803.86,0,0,6.67,7.51,3,100,0,0,0,9,5,0,803.86,0,6.67,7.51,3,100,0,0,0,9,5,0,803.86,0,
China,Turkmenistan,1992,Exports & Imports,47,4,0.98,0.08,3672.23,4087.02,414.79,0,0,59,16.42,4,100,0,0,0,100,6,0,414.79,0,59,16.42,4,100,0,0,0,100,6,0,414.79,0,
China,Trinidad and Tobago,1992,Exports & Imports,187,2,3.91,0.04,1121.6,3893.84,2772.24,0,0,26.5,3.15,2,100,0,0,0,50,3,0,2772.24,0,26.5,3.15,2,100,0,0,0,50,3,0,2772.24,0,
China,Tunisia,1992,Exports & Imports,306,4,6.41,0.08,5099.29,28495.41,23396.12,0.03,0.03,6,7.96,5,80,20,0,0,25,0,0,23395.22,0.9,6,7.96,5,80,20,0,0,25,0,0,23395.22,0.9,
China,Turkey,1992,Exports & Imports,581,58,12.16,1.18,-39637.27,68912.13,108549.4,0.13,0.08,29.12,15.24,81,95.06,4.94,0,0,100,0,0,105561.42,2985.98,29.12,15.24,81,95.06,4.94,0,0,100,0,0,105561.42,2985.98,
China,Tanzania,1992,Exports & Imports,341,6,7.14,0.12,107279.68,107981.1,701.42,0,0.13,23.63,7.14,12,100,0,0,0,60,3,0,701.42,0,23.63,7.14,12,100,0,0,0,60,3,0,701.42,0,
China,Uganda,1992,Exports & Imports,167,3,3.5,0.06,7094.23,7096.67,2.44,0,0.01,46.67,44.39,4,100,0,0,0,80,17.5,0,2.44,0,46.67,44.39,4,100,0,0,0,80,17.5,0,2.44,0,
China,Ukraine,1992,Exports & Imports,230,51,4.81,1.04,-44825.28,89317.46,134142.74,0.17,0.11,21.88,7.14,68,98.53,1.47,0,0,100,0,0,131857.01,2285.74,21.88,7.14,68,98.53,1.47,0,0,100,0,0,131857.01,2285.74,
China,Unspecified,1992,Exports & Imports,2438,3418,51.04,69.39,-101554.31,92116.94,193671.25,0.24,0.11,44.75,53.72,4339,98.36,1.64,0,0,180,0,0,90695.28,72101.14,44.75,53.72,4339,98.36,1.64,0,0,180,0,0,90695.28,72101.14,
China,Uruguay,1992,Exports & Imports,339,27,7.1,0.55,-75393.07,17896.25,93289.32,0.12,0.02,33.94,20.94,33,96.97,3.03,0,0,100,0,0,93289.31,0,33.94,20.94,33,96.97,3.03,0,0,100,0,0,93289.31,0,
China,United States,1992,Exports & Imports,2803,3544,58.68,71.94,-301571.07,8599371.78,8900942.85,11.05,10.12,39.75,22.6,4620,98.44,1.56,0,0,220,0,0,8377439.63,486223.31,39.75,22.6,4620,98.44,1.56,0,0,220,0,0,8377439.63,486223.31,
China,Uzbekistan,1992,Exports & Imports,216,28,4.52,0.57,25237.39,38868.42,13631.03,0.02,0.05,20.72,9.84,37,100,0,0,0,80,3,0,13631.03,0,20.72,9.84,37,100,0,0,0,80,3,0,13631.03,0,
China,Venezuela,1992,Exports & Imports,514,7,10.76,0.14,50593.74,59538.96,8945.22,0.01,0.07,22.64,6.77,8,87.5,12.5,0,0,50,0,0,3217.83,5727.4,22.64,6.77,8,87.5,12.5,0,0,50,0,0,3217.83,5727.4,
China,Vietnam,1992,Exports & Imports,631,129,13.21,2.62,33620.75,106326.58,72705.83,0.09,0.13,39.88,13.59,252,95.63,4.37,0,0,150,0,0,72034.3,671.53,39.88,13.59,252,95.63,4.37,0,0,150,0,0,72034.3,671.53,
China, World,1992,Exports & Imports,4777,4926,100,100,4354711.55,84940013.57,80585302.02,100,100,39.71,32.17,71580,98.73,1.27,0,0,220,0,0,77173601.04,2795177.45,42.08,32.17,6248,98,2,0,0,220,0,0,77173601.04,2795177.45,2
China,Yemen,1992,Exports & Imports,393,8,8.23,0.16,498.07,74400.71,73902.64,0.09,0.09,29.94,3.04,11,100,0,0,0,100,3,0,73902.64,0,29.94,3.04,11,100,0,0,0,100,3,0,73902.64,0,
China,South Africa,1992,Exports & Imports,50,17,1.05,0.35,-278.37,7716.68,7995.05,0.01,0.01,23.78,16.73,25,96,4,0,0,80,0,0,6713.22,1281.83,23.78,16.73,25,96,4,0,0,80,0,0,6713.22,1281.83,
China,"Congo, Dem. Rep.",1992,Exports & Imports,164,10,3.43,0.2,2169.11,7770.35,5601.24,0.01,0.01,13.55,8.38,11,90.91,9.09,0,0,30,0,0,5588.9,12.34,13.55,8.38,11,90.91,9.09,0,0,30,0,0,5588.9,12.34,
China,Zambia,1992,Exports & Imports,53,11,1.11,0.22,-10874.26,5372.26,16246.52,0.02,0.01,11.64,7.74,12,91.67,8.33,0,0,60,0,0,16143.52,103,11.64,7.74,12,91.67,8.33,0,0,60,0,0,16143.52,103,
China,Zimbabwe,1992,Exports & Imports,104,13,2.18,0.26,-70474.34,27429.59,97903.94,0.12,0.03,19.32,39.25,21,90.48,9.52,0,0,50,0,0,95084.45,2819.49,19.32,39.25,21,90.48,9.52,0,0,50,0,0,95084.45,2819.49,

