Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
China,Aruba,2021,Exports & Imports,699,13,15.89,0.3,70355.27,70361.42,6.14,0,0,6.74,6.91,36,88.89,11.11,0,0,12,0,0,2.86,0.01,6.74,6.91,36,88.89,11.11,0,0,12,0,0,2.86,0.01,
China,Afghanistan,2021,Exports & Imports,1202,141,27.33,3.21,424924.04,474451.27,49527.22,0,0.01,7.18,22.85,548,86.5,12.77,0.73,0,30,0,0.14,49266.72,52.39,7.18,22.85,548,86.5,12.77,0.73,0,30,0,0.14,49266.72,52.39,
China,Angola,2021,Exports & Imports,2140,49,48.66,1.12,-18416685.64,2491545.68,20908231.32,0.78,0.07,3.48,0.2,174,56.9,43.1,0,0,12,0,0,724042.05,20184103.9,3.48,0.2,174,56.9,43.1,0,0,12,0,0,724042.05,20184103.9,
China,Albania,2021,Exports & Imports,1734,229,39.43,5.22,427404.71,591556.69,164151.98,0.01,0.02,6.64,1.72,709,94.22,5.78,0,0,20,0,0,72560.21,91224.98,6.64,1.72,709,94.22,5.78,0,0,20,0,0,72560.21,91224.98,
China,Andorra,2021,Exports & Imports,154,126,3.5,2.87,3615.27,4329.93,714.66,0,0,6.22,1.56,391,85.17,14.83,0,0,15,0,0,606.92,35.83,6.22,1.56,391,85.17,14.83,0,0,15,0,0,606.92,35.83,
China,United Arab Emirates,2021,Exports & Imports,3386,802,76.99,18.26,15250316.22,43818205.17,28567888.95,1.06,1.3,6.49,1.98,2353,86.4,13.43,0.17,0,57,0,0.13,10896646.43,17288184.93,6.49,1.98,2353,86.4,13.43,0.17,0,57,0,0.13,10896646.43,17288184.93,
China,Argentina,2021,Exports & Imports,2837,479,64.51,10.91,3557644.02,10689780.73,7132136.71,0.27,0.32,7.18,6.58,1736,82.55,16.82,0,0.63,65,0,0,6856073.81,145497.45,7.18,6.58,1736,82.55,16.82,0,0.63,65,0,0,6856073.81,145497.45,
China,Armenia,2021,Exports & Imports,1593,163,36.22,3.71,-752835.45,331019.91,1083855.36,0.04,0.01,6.38,0.4,692,88.73,11.27,0,0,40,0,0,51909.2,1031582.29,6.38,0.4,692,88.73,11.27,0,0,40,0,0,51909.2,1031582.29,
China,Antigua and Barbuda,2021,Exports & Imports,761,16,17.3,0.36,107565.74,110255.02,2689.28,0,0,6,1.76,83,65.06,34.94,0,0,12,0,0,124.9,2.27,6,1.76,83,65.06,34.94,0,0,12,0,0,124.9,2.27,
China,Australia,2021,Exports & Imports,3619,2151,82.29,48.99,-97346052.96,66383682.84,163729735.8,6.1,1.97,0.43,0.48,5980,4.05,95.95,0,0,65,0,0,6037044.62,157138645.3,7.05,1.07,5980,85.92,14,0.07,0.02,65,0,195.59,20155380.2,143020309.7,1
