Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
China,Austria,2021,Exports & Imports,2266,2007,51.52,45.71,-3069367.47,5349524.84,8418892.3,0.31,0.16,6.8,7.01,5481,87.32,12.61,0.07,0,65,0,282.46,6800649.37,1239433.79,6.8,7.01,5481,87.32,12.61,0.07,0,65,0,282.46,6800649.37,1239433.79,
China,Azerbaijan,2021,Exports & Imports,1802,69,40.97,1.57,789854.3,994881.3,205027,0.01,0.03,6.38,1.7,208,89.42,10.58,0,0,40,0,0,65151.05,139814.86,6.38,1.7,208,89.42,10.58,0,0,40,0,0,65151.05,139814.86,
China,Burundi,2021,Exports & Imports,892,38,20.28,0.87,118296.79,126902.39,8605.61,0,0,6.76,8.67,126,88.89,11.11,0,0,15,0,0,5302.49,3296.97,6.76,8.67,126,88.89,11.11,0,0,15,0,0,5302.49,3296.97,
China,Belgium,2021,Exports & Imports,3114,2210,70.8,50.33,21809564.64,30381731.04,8572166.4,0.32,0.9,6.82,5.29,6016,87.08,12.62,0.08,0.22,216.94,0,1228.93,7396620.22,910929.87,6.82,5.29,6016,87.08,12.62,0.08,0.22,216.94,0,1228.93,7396620.22,910929.87,
China,Benin,2021,Exports & Imports,1686,38,38.34,0.87,995952.67,1227521.46,231568.79,0.01,0.04,0,0,130,0,100,0,0,0,0,0,0,231539.83,7.59,10.61,130,54.62,45.38,0,0,40,0,0,229880.29,1659.53,1
China,Bonaire,2021,Exports & Imports,1,1,0.02,0.02,18.07,18.32,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
China,Burkina Faso,2021,Exports & Imports,1115,24,25.35,0.55,254237.2,442689.79,188452.6,0.01,0.01,7.73,10.7,98,72.45,27.55,0,0,40,0,0,89595,98836.56,7.73,10.7,98,72.45,27.55,0,0,40,0,0,89595,98836.56,
China,Bangladesh,2021,Exports & Imports,3139,648,71.37,14.76,23047682.33,24094592.98,1046910.66,0.04,0.72,5.3,3.63,1774,83.65,16.35,0,0,25,0,0,949370.08,61542.27,6.79,5.88,1774,90.25,9.75,0,0,25,0,0,1003769.41,7142.94,1
China,Bulgaria,2021,Exports & Imports,2313,1012,52.59,23.05,514422.93,2312182.19,1797759.26,0.07,0.07,6.54,4.06,3018,84.26,15.61,0.13,0,65,0,919.52,1539631.17,254093.76,6.54,4.06,3018,84.26,15.61,0.13,0,65,0,919.52,1539631.17,254093.76,
China,Bahrain,2021,Exports & Imports,2046,75,46.52,1.71,981307.49,1380821.71,399514.21,0.01,0.04,5.8,4.15,206,87.38,12.62,0,0,15,0,0,367788.59,31506.83,5.8,4.15,206,87.38,12.62,0,0,15,0,0,367788.59,31506.83,
China,"Bahamas, The",2021,Exports & Imports,1004,22,22.83,0.5,457012.38,474269.57,17257.19,0,0.01,8.37,6.54,81,100,0,0,0,20,1.1,0,17249.05,0,8.37,6.54,81,100,0,0,0,20,1.1,0,17249.05,0,
China,Bosnia and Herzegovina,2021,Exports & Imports,1170,331,26.6,7.54,-862.06,136950.07,137812.12,0.01,0,6.54,3.82,938,84.97,15.03,0,0,40,0,0,72618,62386.7,6.54,3.82,938,84.97,15.03,0,0,40,0,0,72618,62386.7,
China,Belarus,2021,Exports & Imports,2363,429,53.73,9.77,1638718.66,2729411.95,1090693.29,0.04,0.08,6.66,5.63,1549,83.15,15.88,0.26,0.71,65,0,11.94,904307.32,77442.19,6.66,5.63,1549,83.15,15.88,0.26,0.71,65,0,11.94,904307.32,77442.19,
China,Belize,2021,Exports & Imports,1032,25,23.47,0.57,175753.75,175798.92,45.17,0,0.01,5.06,6.83,125,72.8,27.2,0,0,15,0,0,24.99,9.14,5.06,6.83,125,72.8,27.2,0,0,15,0,0,24.99,9.14,
China,Bermuda,2021,Exports & Imports,320,6,7.28,0.14,79103.99,79124.02,20.03,0,0,4.49,1.01,52,28.85,71.15,0,0,10,0,0,1.67,0.12,4.49,1.01,52,28.85,71.15,0,0,10,0,0,1.67,0.12,
China,Bolivia,2021,Exports & Imports,1933,97,43.95,2.21,344700.89,992390.8,647689.91,0.02,0.03,5.46,2.2,365,66.03,33.97,0,0,40,0,0,149463.93,497876.17,5.46,2.2,365,66.03,33.97,0,0,40,0,0,149463.93,497876.17,
China,Brazil,2021,Exports & Imports,3227,1486,73.37,33.84,-56265651.89,53612224.39,109877876.3,4.09,1.59,6.77,2.78,4269,86.27,13.38,0.09,0.26,65,0,41.69,49222916.95,60299822.94,6.77,2.78,4269,86.27,13.38,0.09,0.26,65,0,41.69,49222916.95,60299822.94,
China,Barbados,2021,Exports & Imports,1033,19,23.49,0.43,223492.7,238738.92,15246.22,0,0.01,3.63,3.96,59,30.51,69.49,0,0,15,0,0,14223.98,1013.8,3.63,3.96,59,30.51,69.49,0,0,15,0,0,14223.98,1013.8,
China,Brunei,2021,Exports & Imports,1950,50,44.34,1.14,-1582783.17,639055.85,2221839.02,0.08,0.02,0.07,0,158,3.16,96.84,0,0,5,0,0,90832.51,2130916.9,5.05,1.9,158,89.87,10.13,0,0,15,0,0,1905255.39,316494.03,1
China,Bhutan,2021,Exports & Imports,713,7,16.21,0.16,108751.17,108762.12,10.96,0,0,3.73,1.15,38,42.11,57.89,0,0,15,0,0,2.46,6,3.73,1.15,38,42.11,57.89,0,0,15,0,0,2.46,6,
China,Botswana,2021,Exports & Imports,1371,23,31.17,0.52,82885.57,255501.81,172616.25,0.01,0.01,6.56,2.99,122,81.97,18.03,0,0,20,0,0,170648.24,1935.8,6.56,2.99,122,81.97,18.03,0,0,20,0,0,170648.24,1935.8,
China,Central African Republic,2021,Exports & Imports,607,22,13.8,0.5,9464.5,45530.92,36066.42,0,0,5.61,0.66,82,45.12,54.88,0,0,40,0,0,879.98,35168.71,5.61,0.66,82,45.12,54.88,0,0,40,0,0,879.98,35168.71,
China,Canada,2021,Exports & Imports,3497,2263,79.51,51.54,21060419.66,51510532.19,30450112.53,1.13,1.53,6.67,3.89,6373,86.79,13.13,0.06,0.02,65,0,75908.87,16891915.73,11677576.32,6.67,3.89,6373,86.79,13.13,0.06,0.02,65,0,75908.87,16891915.73,11677576.32,
China,Switzerland,2021,Exports & Imports,2475,2345,56.28,53.4,-31764029.85,6304565.82,38068595.67,1.42,0.19,1.59,1.02,6315,39.89,60.11,0,0,65,0,0,10617581.9,25731115.13,6.81,2.59,6315,87.98,11.96,0.06,0,65,0,2966.83,12964240.05,23384456.97,1
China,Chile,2021,Exports & Imports,3110,562,70.71,12.8,-13165837.12,26292796.78,39458633.9,1.47,0.78,0.46,0.03,1659,3.25,96.75,0,0,65,0,0,201834.8,39075729.15,7.31,1.63,1659,83.3,15.79,0.24,0.66,65,0,12.54,13114807.26,26162756.69,1
China,Cote d'Ivoire,2021,Exports & Imports,2169,51,49.32,1.16,2479053.37,3120942.8,641889.43,0.02,0.09,7.8,11.31,122,65.57,34.43,0,0,40,0,0,374578.49,267182.48,7.8,11.31,122,65.57,34.43,0,0,40,0,0,374578.49,267182.48,
China,Cameroon,2021,Exports & Imports,2076,100,47.2,2.28,1077331.31,2714022.07,1636690.76,0.06,0.08,5.06,0.22,404,62.13,37.87,0,0,40,0,0,42442.71,1594179.67,5.06,0.22,404,62.13,37.87,0,0,40,0,0,42442.71,1594179.67,
China,"Congo, Rep.",2021,Exports & Imports,1649,38,37.49,0.87,-3993607.29,680347.02,4673954.31,0.17,0.02,3.17,0.05,157,44.59,55.41,0,0,20,0,0,108626.98,4565317.02,3.17,0.05,157,44.59,55.41,0,0,20,0,0,108626.98,4565317.02,
China,Cook Islands,2021,Exports & Imports,272,10,6.18,0.23,1960.91,4014.55,2053.64,0,0,5.48,6.9,33,93.94,6.06,0,0,10,0,0,2021.98,0.58,5.48,6.9,33,93.94,6.06,0,0,10,0,0,2021.98,0.58,
China,Colombia,2021,Exports & Imports,2936,410,66.76,9.34,8740551.91,14354661.29,5614109.38,0.21,0.43,6.51,0.79,1302,82.41,17.59,0,0,25,0,0,1098796.42,4514509.43,6.51,0.79,1302,82.41,17.59,0,0,25,0,0,1098796.42,4514509.43,
China,Comoros,2021,Exports & Imports,718,6,16.33,0.14,56835.15,56949.26,114.11,0,0,13.8,17.94,20,100,0,0,0,20,8,0,113.09,0,13.8,17.94,20,100,0,0,0,20,8,0,113.09,0,
China,Cape Verde,2021,Exports & Imports,956,9,21.74,0.2,83390.82,84537.74,1146.92,0,0,4.3,2.03,19,68.42,31.58,0,0,20,0,0,1129.14,14.99,4.3,2.03,19,68.42,31.58,0,0,20,0,0,1129.14,14.99,
China,Costa Rica,2021,Exports & Imports,2288,324,52.02,7.38,1439834.58,2255325.83,815491.25,0.03,0.07,0.16,0.03,1156,1.47,98.53,0,0,15,0,0,8909.13,802586.84,5.81,3.84,1156,77.94,22.06,0,0,40,0,0,683784.25,127711.71,1
China,Cuba,2021,Exports & Imports,1564,45,35.56,1.02,128942.41,575872.93,446930.52,0.02,0.02,5.86,8.47,146,80.14,19.86,0,0,50,0,0,291617.96,155273.35,5.86,8.47,146,80.14,19.86,0,0,50,0,0,291617.96,155273.35,
China,Cura‡ao,2021,Exports & Imports,823,12,18.71,0.27,55162.81,55175.43,12.62,0,0,8.4,9.13,43,79.07,20.93,0,0,50,0,0,7.53,0.56,8.4,9.13,43,79.07,20.93,0,0,50,0,0,7.53,0.56,
China,Cayman Islands,2021,Exports & Imports,484,10,11.01,0.23,37390.46,37496.5,106.04,0,0,5.57,4.12,70,84.29,15.71,0,0,15,0,0,86.42,13.31,5.57,4.12,70,84.29,15.71,0,0,15,0,0,86.42,13.31,
China,Cyprus,2021,Exports & Imports,1814,172,41.25,3.92,837874.05,866743.38,28869.32,0,0.03,4.99,6.21,721,63.8,36.2,0,0,30,0,0,16873.04,9970.34,4.99,6.21,721,63.8,36.2,0,0,30,0,0,16873.04,9970.34,
China,Czech Republic,2021,Exports & Imports,2452,1770,55.75,40.31,9054591.37,15108153.42,6053562.05,0.23,0.45,6.62,5.01,4796,86.28,13.49,0.19,0.04,40,0,797.63,4182036.76,1568535.61,6.62,5.01,4796,86.28,13.49,0.19,0.04,40,0,797.63,4182036.76,1568535.61,
China,Germany,2021,Exports & Imports,3570,3584,81.17,81.62,-4738149.65,115181922.5,119920072.2,4.47,3.43,7.11,6.21,8904,88.87,10.88,0.16,0.09,337.16,0,251926.66,97520673.91,14682257.27,7.11,6.21,8904,88.87,10.88,0.16,0.09,337.16,0,251926.66,97520673.91,14682257.27,
China,Djibouti,2021,Exports & Imports,2111,9,48,0.2,2516468.81,2572274.55,55805.74,0,0.08,4.48,4.9,16,75,25,0,0,10,0,0,55799.76,1.4,4.48,4.9,16,75,25,0,0,10,0,0,55799.76,1.4,
China,Dominica,2021,Exports & Imports,725,24,16.48,0.55,33155.29,34586.83,1431.54,0,0,4.27,1.15,105,68.57,31.43,0,0,15,0,0,282.7,1131.55,4.27,1.15,105,68.57,31.43,0,0,15,0,0,282.7,1131.55,
China,Denmark,2021,Exports & Imports,2415,1835,54.91,41.79,3895606.59,10871706.9,6976100.31,0.26,0.32,6.85,5.92,4955,85.41,14.49,0.08,0.02,65,0,2575.86,5547583.68,1292919.82,6.85,5.92,4955,85.41,14.49,0.08,0.02,65,0,2575.86,5547583.68,1292919.82,
China,Dominican Republic,2021,Exports & Imports,2416,284,54.93,6.47,3654992.25,4002491.99,347499.74,0.01,0.12,6.42,2.91,931,90.66,9.34,0,0,25,0,0,317089.73,29571.99,6.42,2.91,931,90.66,9.34,0,0,25,0,0,317089.73,29571.99,
China,Algeria,2021,Exports & Imports,2463,99,56,2.25,5268908.36,6349679.65,1080771.29,0.04,0.19,6.12,2.31,283,88.69,11.31,0,0,38,0,0,947260.26,132814.99,6.12,2.31,283,88.69,11.31,0,0,38,0,0,947260.26,132814.99,
China,East Asia & Pacific,2021,Exports & Imports,4338,4186,98.64,95.33,61822299.5,1234012854,1172190555,43.67,36.7,2.3,1.35,80715,29.88,70.05,0.03,0.04,337.16,0,1248862.06,446448046.9,693386312.8,7.32,2.83,10331,88.8,10.82,0.02,0.03,337.16,0,1773453.38,731073716.4,408760643.4,22
China,Europe & Central Asia,2021,Exports & Imports,4098,4192,93.18,95.47,257447498.1,758589224.7,501141726.6,18.67,22.56,6.48,4.54,155268,83.37,16.47,0.09,0.07,337.16,0,573876,327274564.4,150751184.8,7.26,4.66,10288,88.99,10.61,0.01,0.02,337.16,0,576842.83,329732715.3,148293033.9,4
China,Ecuador,2021,Exports & Imports,2652,205,60.3,4.67,23858.41,5483432.06,5459573.65,0.2,0.16,6.87,2.82,759,78.52,21.48,0,0,30,0,0,2473492.09,2875578.25,6.87,2.82,759,78.52,21.48,0,0,30,0,0,2473492.09,2875578.25,
China,"Egypt, Arab Rep.",2021,Exports & Imports,2974,567,67.62,12.91,16560324.89,18264732.81,1704407.93,0.06,0.54,6.88,2.9,1770,87.34,12.66,0,0,40,0,0,796127.42,902349.66,6.88,2.9,1770,87.34,12.66,0,0,40,0,0,796127.42,902349.66,
China,Eritrea,2021,Exports & Imports,622,12,14.14,0.27,-319774.77,69957.15,389731.92,0.01,0,4.31,0,31,77.42,22.58,0,0,17,0,0,28.68,389664.23,4.31,0,31,77.42,22.58,0,0,17,0,0,28.68,389664.23,
China,Western Sahara,2021,Exports & Imports,32,3,0.73,0.07,1099.89,1100.01,0.12,0,0,15,10.43,7,100,0,0,0,20,10,0,0.05,0,15,10.43,7,100,0,0,0,20,10,0,0.05,0,
China,Spain,2021,Exports & Imports,3256,2680,74.03,61.03,23837812.28,36127926.1,12290113.82,0.46,1.07,6.99,7.55,6956,88.33,11.6,0.06,0.01,65,0,162.59,9955137.26,1644268.76,6.99,7.55,6956,88.33,11.6,0.06,0.01,65,0,162.59,9955137.26,1644268.76,
China,Estonia,2021,Exports & Imports,1791,606,40.72,13.8,728413.4,1009975.51,281562.11,0.01,0.03,6.16,3.45,2085,82.88,16.93,0.19,0,40,0,34.55,162894.08,84213.86,6.16,3.45,2085,82.88,16.93,0.19,0,40,0,34.55,162894.08,84213.86,
China,Ethiopia(excludes Eritrea),2021,Exports & Imports,2275,153,51.73,3.48,1924944.01,2290950.94,366006.93,0.01,0.07,6.34,5.73,514,86.19,13.81,0,0,23,0,0,362664.6,3043.24,6.34,5.73,514,86.19,13.81,0,0,23,0,0,362664.6,3043.24,
China,Finland,2021,Exports & Imports,2218,1422,50.43,32.38,-1524682.65,3802994.86,5327677.5,0.2,0.11,6.59,4.12,4102,84.42,15.48,0.1,0,65,0,830.23,3061026.5,1983478.32,6.59,4.12,4102,84.42,15.48,0.1,0,65,0,830.23,3061026.5,1983478.32,
China,Fiji,2021,Exports & Imports,1881,37,42.77,0.84,341889.36,397395.24,55505.88,0,0.01,4.97,0.7,158,65.82,34.18,0,0,12,0,0,7304.44,48009.13,4.97,0.7,158,65.82,34.18,0,0,12,0,0,7304.44,48009.13,
China,France,2021,Exports & Imports,3228,3135,73.4,71.4,7261557.09,46388199.84,39126642.75,1.46,1.38,7.06,5.19,8082,88.15,11.64,0.05,0.16,65,0,14875.7,35104090.65,3033841.88,7.06,5.19,8082,88.15,11.64,0.05,0.16,65,0,14875.7,35104090.65,3033841.88,
China,Faeroe Islands,2021,Exports & Imports,77,12,1.75,0.27,-89830.7,1658.46,91489.16,0,0,6.69,8.36,34,91.18,8.82,0,0,10,0,0,79600.91,0.01,6.69,8.36,34,91.18,8.82,0,0,10,0,0,79600.91,0.01,
China,"Micronesia, Fed. Sts.",2021,Exports & Imports,469,10,10.66,0.23,2688.37,20122.67,17434.3,0,0,3.88,7,36,66.67,33.33,0,0,10,0,0,17432.78,0.22,3.88,7,36,66.67,33.33,0,0,10,0,0,17432.78,0.22,
China,Gabon,2021,Exports & Imports,1529,36,34.77,0.82,-2148372.77,436240.59,2584613.36,0.1,0.01,2.7,0.04,182,51.1,48.9,0,0,15,0,0,29553.53,2554392.38,2.7,0.04,182,51.1,48.9,0,0,15,0,0,29553.53,2554392.38,
China,United Kingdom,2021,Exports & Imports,3466,3087,78.81,70.3,61376839.26,87029776.77,25652937.51,0.96,2.59,7.06,5.24,8010,88.65,11.09,0.11,0.15,337.16,0,79785.33,18046233.01,6907563.29,7.06,5.24,8010,88.65,11.09,0.11,0.15,337.16,0,79785.33,18046233.01,6907563.29,
China,Georgia,2021,Exports & Imports,2062,330,46.88,7.52,854404.39,1028872.59,174468.21,0.01,0.03,0.22,0.04,1204,6.98,93.02,0,0,12,0,0,17117.32,154278.94,6.26,3.42,1204,86.21,13.79,0,0,25,0,0,68716.48,102679.79,1
China,Ghana,2021,Exports & Imports,2603,128,59.19,2.92,6637401.55,8104178.31,1466776.76,0.05,0.24,6.75,0.55,517,82.01,17.99,0,0,25,0,0,97960.33,1365284.44,6.75,0.55,517,82.01,17.99,0,0,25,0,0,97960.33,1365284.44,
China,Gibraltar,2021,Exports & Imports,163,4,3.71,0.09,6020.23,6029.42,9.19,0,0,8,9.99,5,40,60,0,0,14,0,0,5.05,0.01,8,9.99,5,40,60,0,0,14,0,0,5.05,0.01,
China,Guinea,2021,Exports & Imports,2026,41,46.07,0.93,-633974.64,2158471.54,2792446.18,0.1,0.06,4.65,0,113,69.91,30.09,0,0,20,0,0,3784.45,2788618.09,4.65,0,113,69.91,30.09,0,0,20,0,0,3784.45,2788618.09,
China,"Gambia, The",2021,Exports & Imports,1247,28,28.35,0.64,499351.85,543953.13,44601.29,0,0.02,3.19,0.68,143,56.64,43.36,0,0,15,0,0,5876.41,37274.52,3.19,0.68,143,56.64,43.36,0,0,15,0,0,5876.41,37274.52,
China,Guinea-Bissau,2021,Exports & Imports,614,1,13.96,0.02,88877.8,88878.91,1.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
China,Equatorial Guinea,2021,Exports & Imports,1004,10,22.83,0.23,-1091158.37,123984.09,1215142.47,0.05,0,2.16,0.03,75,42.67,57.33,0,0,7,0,0,8558.48,1206581.43,2.16,0.03,75,42.67,57.33,0,0,7,0,0,8558.48,1206581.43,
China,Greece,2021,Exports & Imports,2698,921,61.35,20.97,10207034.01,11180074.15,973040.14,0.04,0.33,6.72,2.7,2875,80.83,19.03,0.14,0,50,0,148.82,698251.68,271345.78,6.72,2.7,2875,80.83,19.03,0.14,0,50,0,148.82,698251.68,271345.78,
China,Grenada,2021,Exports & Imports,649,6,14.76,0.14,20422.27,20446.47,24.2,0,0,3.67,4.12,14,64.29,35.71,0,0,8,0,0,18.84,2.28,3.67,4.12,14,64.29,35.71,0,0,8,0,0,18.84,2.28,
China,Greenland,2021,Exports & Imports,82,21,1.86,0.48,-237702.26,535.89,238238.15,0.01,0,5.53,7.6,94,70.21,29.79,0,0,12,0,0,221851.33,4.25,5.53,7.6,94,70.21,29.79,0,0,12,0,0,221851.33,4.25,
China,Guatemala,2021,Exports & Imports,2494,177,56.71,4.03,3455725.86,3904451.47,448725.61,0.02,0.12,7.17,3.51,490,78.98,21.02,0,0,50,0,0,367044.17,78666.19,7.17,3.51,490,78.98,21.02,0,0,50,0,0,367044.17,78666.19,
China,Guyana,2021,Exports & Imports,1557,27,35.4,0.61,70347.07,390254.91,319907.84,0.01,0.01,4.48,0.13,87,57.47,42.53,0,0,14,0,0,8912.58,310596.56,4.48,0.13,87,57.47,42.53,0,0,14,0,0,8912.58,310596.56,
China,"Hong Kong, China",2021,Exports & Imports,3778,1783,85.9,40.61,339742116,349442324.7,9700208.7,0.36,10.39,0.11,0,5035,0.95,99.05,0,0,7,0,0,107547.37,9100889.3,6.69,2.84,5035,85.18,14.74,0.08,0,65,0,5159.78,4417012.07,4791424.59,1
China,Honduras,2021,Exports & Imports,1989,198,45.23,4.51,1550713.02,1584844.45,34131.43,0,0.05,6.36,5.5,656,85.82,14.18,0,0,25,0,0,32870.47,1069.28,6.36,5.5,656,85.82,14.18,0,0,25,0,0,32870.47,1069.28,
China,Croatia,2021,Exports & Imports,2117,554,48.14,12.62,1637132.51,1977035.2,339902.68,0.01,0.06,6.1,4.39,1834,80.04,19.74,0.22,0,40,0,29.72,244886.91,87802.37,6.1,4.39,1834,80.04,19.74,0.22,0,40,0,29.72,244886.91,87802.37,
China,Haiti,2021,Exports & Imports,1366,90,31.06,2.05,791090.42,795419.74,4329.31,0,0.02,6.49,8.27,314,88.85,11.15,0,0,20,0,0,4268.13,26.23,6.49,8.27,314,88.85,11.15,0,0,20,0,0,4268.13,26.23,
China,Hungary,2021,Exports & Imports,2612,1357,59.39,30.9,4575713.87,10141754.84,5566040.97,0.21,0.3,6.55,5.07,4047,84.8,15.1,0.1,0,65,0,116755.35,4170698.3,1356939.12,6.55,5.07,4047,84.8,15.1,0.1,0,65,0,116755.35,4170698.3,1356939.12,
China,Indonesia,2021,Exports & Imports,3624,1974,82.4,44.96,-3237106.14,60649440.44,63886546.58,2.38,1.8,0.43,0.81,5390,5.99,94.01,0,0,50,0,0,6306293.11,56392965.85,6.92,4.91,5390,86.44,13.45,0.11,0,65,0,28671.12,52289255.55,10410003.41,1
China,India,2021,Exports & Imports,3536,2644,80.4,60.21,69373320.21,97510656.3,28137336.09,1.05,2.9,6.13,3.8,7126,88.24,11.76,0,0,65,0,0,19354699.25,8479297.48,6.76,4.98,7126,88.28,11.66,0.06,0,65,0,646.63,21939080.44,5894916.29,
China,Ireland,2021,Exports & Imports,2170,961,49.34,21.89,-12305011.77,5321331.53,17626343.29,0.66,0.16,6.4,2.28,3207,82.01,17.84,0.12,0.03,40,0,28431.12,14550510.43,1167363.7,6.4,2.28,3207,82.01,17.84,0.12,0.03,40,0,28431.12,14550510.43,1167363.7,
China,"Iran, Islamic Rep.",2021,Exports & Imports,2816,470,64.03,10.7,1777485.98,8277852.81,6500366.83,0.24,0.25,6.7,4.62,1573,85,14.75,0.25,0,30,0,18.63,5511574.06,575132.76,6.7,4.62,1573,85,14.75,0.25,0,30,0,18.63,5511574.06,575132.76,
China,Iraq,2021,Exports & Imports,2455,83,55.82,1.89,-15957420.27,10689812.83,26647233.1,0.99,0.32,6.4,0.03,431,86.77,13.23,0,0,18,0,0,180033.83,26465748.28,6.4,0.03,431,86.77,13.23,0,0,18,0,0,180033.83,26465748.28,
China,Iceland,2021,Exports & Imports,1255,197,28.54,4.49,55199.21,207015.68,151816.48,0.01,0.01,0.43,1.29,729,4.25,95.75,0,0,38,0,0,25738.6,60140.54,5.86,7.29,729,77.5,22.5,0,0,38,0,0,85632.17,246.97,1
China,Israel,2021,Exports & Imports,3053,1221,69.42,27.81,7763040.51,15298217.24,7535176.73,0.28,0.46,6.36,1.93,3847,83.55,16.19,0.1,0.16,128.76,0,9021.23,6069597.73,1428155.34,6.36,1.93,3847,83.55,16.19,0.1,0.16,128.76,0,9021.23,6069597.73,1428155.34,
China,Italy,2021,Exports & Imports,3351,3225,76.19,73.45,13307466,43630019.2,30322553.2,1.13,1.3,7.03,6.15,8071,88.35,11.52,0.05,0.07,128.76,0,3336.76,26578819.68,3049324.2,7.03,6.15,8071,88.35,11.52,0.05,0.07,128.76,0,3336.76,26578819.68,3049324.2,
